iata;icao;nvls;name
0B;BLA;5191;Blue Air
2F;EZZ;5316;ETF Airways
2L;OAW;449;Helvetic
2N;LYX;5259;Smart Lynx Malta
2W;WFL;5309;World2fly
3O;MAC;4891;Air Arabia Maroc
4M;MGH;5310;MGA Airlines
4U;GWI;5005;Germanwings
4Y;BGA;5234;Airbus Transport International
5F;FIA;5291;Flyone
5K;HFY;114;Hi Fly SA
5M;HFM;5192;Hi Fly Ltd
5O;FPO;5082;ASL Airlines France
5P;LLX;5084;Small Planet Airlines
6B;BLX;5135;TUIfly Nordic
6E;IGO;5300;IndiGo
6H;ISR;96;Israir
6I;;5251;Air Alisie A/S
6K;TAH;5321;Air Anka
6Y;ART;5088;SmartLynx Airlines
7A;XRC;5299;Express Air Cargo
7E;AWU;5124;Sylt Air
7R;RLU;5221;Rusline
7W;WRC;4927;Wind Rose Aviation
8H;BGH;232;Balkan Holiday Airlines
8Q;OHY;137;Onur Air
8R;AIA;5286;Amelia
8W;PWF;5231;Private Wings Flugcharter GMBH
9W;JAI;2481;Jet Airways
A0;EFW;5304;BA EuroFlyer
A3;AEE;386;Aegean Airlines
A5;HOP;5021;HOP!
A9;TGZ;16;Georgian Airways
AA;AAL;555;American Airlines
AC;ACA;54;Air Canada
AD;AZU;5211;Azul Linhas Aereas Brasileiras
AF;AFR;80;Air France
AI;AIC;712;Air India
AM;AMX;794;Aeromexico
AP;LAV;4987;Alba Star
AR;;4915;Saudi Aramco Aviation
AT;RAM;145;Royal Air Maroc
AV;AVA;5197;Avianca Cargo
AY;FIN;78;Finnair
AZ;ITY;12;ITA Airways
B2;BRU;504;Belavia
B6;JBU;5308;JetBlue
BA;BAW;31;British Airways
BE;BEE;502;Flybe
BR;EVA;71;EVA Air
BT;BTI;419;AirBaltic
CD;CND;4982;Corendon Dutch Airlines
CI;CAL;44;China Airlines
CM;CMP;1405;COPA Airlines
CX;CPA;4826;Cathay Pacific
CY;CYP;5205;Charlie Airlines Ltd
CZ;CSN;43;China Southern Airlines
D8;NSZ;5081;Norwegian
DB;MLT;5079;Maleth-Aero
DK;VKG;5242;Sunclass Airlines Aps.
DL;DAL;58;Delta Air Lines
DS;EZS;74;easyJet Switzerland
DT;DTA;1676;TAAG Angola Airlines
DY;NOZ;532;Norwegian
EC;EJU;5151;easyJet Europe
EE;EST;5275;Xfly
EI;EIN;108;Aer Lingus
EK;UAE;4913;Emirates
EN;DLA;187;Air Dolomiti
ER;SEP;5267;Serene Air
ET;ETH;188;Ethiopian Airlines
EW;EWG;133;Eurowings
EY;ETD;274;Etihad Airways
F3;;5335;flyadeal Airline Company
F5;ATG;5194;ATC
F6;VAW;5288;Fly2Sky
F7;RSY;5204;I Fly
FB;LZB;387;Bulgaria Air
FH;FHY;190;Freebird Airlines
FI;ICE;94;Icelandair
FR;RYR;234;Ryanair
FX;FDX;5326;Federal Express
G3;GLO;4918;Gol Transportes Aereos
GA;GIA;85;Garuda Indonesia
GF;GFA;528;Gulf Air
GM;GSW;5093;Germania Flug AG
GQ;SEH;4812;Sky Express
GS;GCR;5203;TianJin Air
GW;GJT;5176;Get Jet Airlines
H5;VJH;5320;VistaJet
